Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
367	R1	80	0	0	0.02	W
367	R2	205	0	0	0.02	W
367	R3	245	0	0	0.02	W
367	R4	300	0	0	0.02	W
367	R5	230	0	0	0.02	W
ACAD17371	R1	80	0	0	0.06	W
ACAD17371	R2	205	0	0	0.06	W
ACAD17371	R3	245	0.465	0.465	0.06	W
ACAD17371	R4	300	0	0	0.06	W
ACAD17371	R5	230	0	0	0.06	W
AH574	R1	80	0	0	0.36	W
AH574	R2	205	0.927	0.6	0.36	W
AH574	R3	245	0.433	0.433	0.36	W
AH574	R4	300	0.383	0.267	0.36	W
AH574	R5	230	0	0	0.36	W
AH575	R1	80	1.05	0.65	1.15	W
AH575	R2	205	1.341	0.693	1.15	W
AH575	R3	245	1.127	0.633	1.15	W
AH575	R4	300	0.843	0.633	1.15	W
AH575	R5	230	1.335	0.752	1.15	W
AH577	R1	80	0.4	0.4	0.57	W
AH577	R2	205	0.566	0.424	0.57	W
AH577	R3	245	0.665	0.518	0.57	W
AH577	R4	300	0.607	0.477	0.57	W
AH577	R5	230	0.791	0.696	0.57	W
AL2022	R1	80	1.987	0.775	2.6	D
AL2022	R2	205	4.229	1	2.6	D
AL2022	R3	245	4.347	0.849	2.6	D
AL2022	R4	300	2.85	0.8	2.6	D
AL2022	R5	230	4.361	0.965	2.6	D
AL2242	R1	80	0.525	0.525	0.18	D
AL2242	R2	205	0.317	0.317	0.18	D
AL2242	R3	245	0.633	0.571	0.18	D
AL2242	R4	300	0.193	0.193	0.18	D
AL2242	R5	230	0.57	0.448	0.18	D
AL2350	R1	80	0.537	0.537	1.4	W
AL2350	R2	205	0.771	0.59	1.4	W
AL2350	R3	245	1.049	0.661	1.4	W
AL2350	R4	300	0.797	0.5	1.4	W
AL2350	R5	230	1.287	0.852	1.4	W
AL2370	R1	80	0.487	0.387	0.44	W
AL2370	R2	205	0.376	0.376	0.44	W
AL2370	R3	245	0.706	0.514	0.44	W
AL2370	R4	300	0.133	0.133	0.44	W
AL2370	R5	230	0.561	0.539	0.44	W
AL2397	R1	80	1.637	0.812	1.5	D
AL2397	R2	205	2.468	0.98	1.5	D
AL2397	R3	245	3.392	0.861	1.5	D
AL2397	R4	300	1.66	0.63	1.5	D
AL2397	R5	230	3.483	0.804	1.5	D
AL2541	R1	80	1.062	1	0.79	W
AL2541	R2	205	0.385	0.385	0.79	W
AL2541	R3	245	0.967	0.535	0.79	W
AL2541	R4	300	1.33	0.56	0.79	W
AL2541	R5	230	1	0.709	0.79	W
AL2571	R1	80	1.438	0.488	1.1	D
AL2571	R2	205	2.912	0.98	1.1	D
AL2571	R3	245	3.09	0.857	1.1	D
AL2571	R4	300	1.843	0.837	1.1	D
AL2571	R5	230	2.113	0.909	1.1	D
AL2657	R1	80	0.125	0.125	0.95	W
AL2657	R2	205	0.185	0.185	0.95	W
AL2657	R3	245	0.873	0.624	0.95	W
AL2657	R4	300	0.263	0.263	0.95	W
AL2657	R5	230	0.552	0.552	0.95	W
AL2660	R1	80	0	0	0.6	W
AL2660	R2	205	0.59	0.59	0.6	W
AL2660	R3	245	10.135	0.453	0.6	W
AL2660	R4	300	0	0	0.6	W
AL2660	R5	230	0.47	0.47	0.6	W
AL2741	R1	80	1.025	0.738	1.52	W
AL2741	R2	205	0.576	0.4	1.52	W
AL2741	R3	245	0.865	0.796	1.52	W
AL2741	R4	300	0.56	0.4	1.52	W
AL2741	R5	230	0.326	0.326	1.52	W
AL2744	R1	80	3.35	1	3.16	W
AL2744	R2	205	1.605	0.79	3.16	W
AL2744	R3	245	1.327	0.588	3.16	W
AL2744	R4	300	2.427	0.793	3.16	W
AL2744	R5	230	1.096	0.609	3.16	W
AL2893	R1	80	0	0	0.32	W
AL2893	R2	205	0.795	0.639	0.32	W
AL2893	R3	245	1.171	0.665	0.32	W
AL2893	R4	300	0.32	0.32	0.32	W
AL2893	R5	230	0.574	0.548	0.32	W
AL2946	R1	80	0	0	0.2	D
AL2946	R2	205	1.049	0.761	0.2	D
AL2946	R3	245	0.453	0.282	0.2	D
AL2946	R4	300	0.44	0.44	0.2	D
AL2946	R5	230	1.078	0.652	0.2	D
AL3185	R1	80	4.263	0.95	4.4	W
AL3185	R2	205	1.966	0.751	4.4	W
AL3185	R3	245	1.061	0.608	4.4	W
AL3185	R4	300	0.48	0.38	4.4	W
AL3185	R5	230	1.6	0.713	4.4	W
AL3272	R1	80	1.137	0.762	0.38	W
AL3272	R2	205	0.434	0.434	0.38	W
AL3272	R3	245	1	0.694	0.38	W
AL3272	R4	300	0.63	0.457	0.38	W
AL3272	R5	230	1.735	0.796	0.38	W
AL3284	R1	80	0	0	0.05	W
AL3284	R2	205	0	0	0.05	W
AL3284	R3	245	0	0	0.05	W
AL3284	R4	300	0.453	0.453	0.05	W
AL3284	R5	230	0.222	0.222	0.05	W
ALAS_015	R1	80	0.887	0.887	1.27	D
ALAS_015	R2	205	3.054	1	1.27	D
ALAS_015	R3	245	0.735	0.702	1.27	D
ALAS_015	R4	300	0.77	0.5	1.27	D
ALAS_015	R5	230	0.157	0.157	1.27	D
ALAS_016	R1	80	5.263	0.863	2.94	W
ALAS_016	R2	205	5.288	1	2.94	W
ALAS_016	R3	245	6.037	1	2.94	W
ALAS_016	R4	300	5.49	0.74	2.94	W
ALAS_016	R5	230	6.496	0.783	2.94	W
ALAS_024	R1	80	0.637	0.637	1.04	W
ALAS_024	R2	205	1.946	0.902	1.04	W
ALAS_024	R3	245	1.053	0.776	1.04	W
ALAS_024	R4	300	0.847	0.513	1.04	W
ALAS_024	R5	230	1.8	0.865	1.04	W
alc	R1	80	7	1	6.8	W
alc	R2	205	0.878	0.405	6.8	W
alc	R3	245	1.278	0.722	6.8	W
alc	R4	300	2.2	0.713	6.8	W
alc	R5	230	1.587	0.752	6.8	W
ALPO01	R1	80	0.562	0.562	1.6	D
ALPO01	R2	205	0.922	0.79	1.6	D
