367	R4	300	0	0	0.02	W
ACAD17371	R4	300	0	0	0.06	W
AH574	R4	300	0.383	0.267	0.36	W
AH575	R4	300	0.843	0.633	1.15	W
AH577	R4	300	0.607	0.477	0.57	W
AL2022	R4	300	2.85	0.8	2.6	D
AL2242	R4	300	0.193	0.193	0.18	D
AL2350	R4	300	0.797	0.5	1.4	W
AL2370	R4	300	0.133	0.133	0.44	W
AL2397	R4	300	1.66	0.63	1.5	D
AL2541	R4	300	1.33	0.56	0.79	W
AL2571	R4	300	1.843	0.837	1.1	D
AL2657	R4	300	0.263	0.263	0.95	W
AL2660	R4	300	0	0	0.6	W
AL2741	R4	300	0.56	0.4	1.52	W
AL2744	R4	300	2.427	0.793	3.16	W
AL2893	R4	300	0.32	0.32	0.32	W
AL2946	R4	300	0.44	0.44	0.2	D
AL3185	R4	300	0.48	0.38	4.4	W
AL3272	R4	300	0.63	0.457	0.38	W
AL3284	R4	300	0.453	0.453	0.05	W
ALAS_015	R4	300	0.77	0.5	1.27	D
ALAS_016	R4	300	5.49	0.74	2.94	W
ALAS_024	R4	300	0.847	0.513	1.04	W
alc	R4	300	2.2	0.713	6.8	W
ALPO01	R4	300	1.023	0.473	1.6	D
ANH5	R4	300	4.193	0.693	1	W
ASHQ01	R4	300	3.617	0.657	2.4	D
ASHQ06	R4	300	2.013	0.84	1.8	D
ASHQ08	R4	300	4.667	0.937	2.2	D
C26	R4	300	0	0	0.2	D
C27	R4	300	0.167	0.167	0.3	D
C32	R4	300	1.28	0.69	7.2	D
C5	R4	300	0.18	0.18	0.6	D
C62	R4	300	0.57	0.397	0.7	D
C88	R4	300	0.467	0.297	0.7	D
C89	R4	300	1.01	0.58	2.2	D
C90	R4	300	0.623	0.39	0.6	D
C94	R4	300	0	0	0.2	D
cac	R4	300	8.817	0.917	32.8	W
CGG23	R4	300	8.587	1	4.66	W
CGG29	R4	300	4.667	0.723	6.9	W
CGG32	R4	300	6.657	0.717	15.04	W
CGG33	R4	300	6.233	1	15.28	W
CGG34	R4	300	0.237	0.237	0.2	W
CGG6	R4	300	7.123	0.78	9.2	D
CH1109	R4	300	0	0	0.03	W
CTC	R4	300	7.3	0.933	9.2	D
DS04	R4	300	0.29	0.287	0.83	W
F3781	R4	300	1.907	0.667	0.8	D
glw	R4	300	24.297	1	23.8	W
HellsGap11000	R4	300	0.29	0.177	1.5	W
HellsGap2500	R4	300	0.2	0.2	0.8	W
HMNH_007	R4	300	0.97	0.477	1.09	W
HMNH_011	R4	300	1.81	0.683	1.4	W
HMNH_017	R4	300	0.477	0.307	0.4	D
HOV4	R4	300	0.203	0.203	0.99	W
HXH	R4	300	3.797	0.807	9.4	D
IN18_005	R4	300	2.423	0.87	1.71	W
IN18_016	R4	300	27.96	0.967	13.01	W
inw	R4	300	12.867	0.903	27.129	W
IRK	R4	300	0.38	0.24	0.23	W
irw	R4	300	4.21	0.663	29.65	W
ita	R4	300	4.97	1	6.7	W
JAL385	R4	300	2.877	0.787	4	W
JAL48	R4	300	0.367	0.367	1.12	W
JAL65	R4	300	0.13	0.13	0.43	W
JAL69	R4	300	1.593	0.467	1.5	W
JK2174	R4	300	0.223	0.117	4.33	W
JK2175	R4	300	0	0	1.23	W
JK2179	R4	300	0.903	0.493	2.96	W
JK2181	R4	300	0.173	0.173	0.64	W
JK2183	R4	300	0.4	0.163	7.26	W
LOW002	R4	300	2.833	0.803	6	W
LOW003	R4	300	6.283	1	6.4	W
LOW006	R4	300	5.187	1	3.6	W
LOW007	R4	300	3.91	0.943	2.3	W
LOW008	R4	300	1.753	0.627	1	W
MCZ_25374	R4	300	4.04	0.813	3.2	W
MCZ_BOM_11183	R4	300	57.23	1	25	W
Portauchoix	R4	300	4.417	0.75	11.7	D
montana_wolf	R4	300	8.163	0.83	28.5	W
NGDG	R4	300	14.733	0.987	28	D
NMNH_137125	R4	300	26.813	0.813	7.7	W
NMNH_223936	R4	300	35.47	0.857	12.6	W
NMNH_224185	R4	300	22.347	0.957	12.1	W
NMNH_234427	R4	300	5.07	0.81	3	W
NMNH_264482	R4	300	4.503	0.813	3.1	W
NMNH_52057	R4	300	2.29	0.623	3.5	W
NMNH_64968	R4	300	2.96	0.663	2.5	W
NMW_005	R4	300	0.797	0.527	1.04	W
OL4029	R4	300	0.203	0.203	0.1	D
OL4061	R4	300	1.953	0.69	1.8	D
OL4222	R4	300	1.923	0.83	4.5	D
OL4223	R4	300	2.477	0.913	2.2	D
PDM100	R4	300	0	0	0.09	W
PON012	R4	300	2.763	0.933	2.4	W
ptw	R4	300	20.373	1	27.8	W
rwa	R4	300	3.22	0.72	28.5	W
rwb	R4	300	1.763	0.78	7.1	W
SC1061	R4	300	17.39	0.9	17.5	D
SC19.MCJ010	R4	300	2.473	0.607	3.07	W
SC19.MCJ014	R4	300	0.16	0.16	1.07	W
SC19.MCJ015	R4	300	2.52	0.62	2.32	W
SC19.MCJ017	R4	300	0.397	0.293	0.48	W
SOTN01	R4	300	6.127	0.893	11.2	D
Taimyr-1	R4	300	0.027	0.027	2.9	W
TGEZ06	R4	300	1.373	0.837	0.9	D
THRZ02	R4	300	0.403	0.403	0.1	D
TU144	R4	300	0.12	0.12	0.92	W
TU148	R4	300	0.06	0.06	0.36	W
TU839	R4	300	0.163	0.163	0.6	W
TU840	R4	300	1.137	0.623	1.1	W
Tumat	R4	300	2.007	0.707	5.16	W
UZAA01	R4	300	3.773	0.87	5.5	D
UZAA02	R4	300	4.28	0.99	5.8	D
VAL_005	R4	300	0.443	0.347	0.77	W
VAL_008	R4	300	1.89	0.927	1.91	W
VAL_011	R4	300	0.853	0.527	1.14	W
VAL_012	R4	300	0.73	0.503	0.74	W
VAL_033	R4	300	1.24	0.65	1	W
VAL_035	R4	300	0.637	0.503	1.55	W
VAL_037	R4	300	1.19	0.58	0.63	W
VAL_050	R4	300	3.51	0.873	3.29	W
VAL_18A	R4	300	0.22	0.22	0.97	W
Yana-1	R4	300	0.143	0.11	2.8	W
YPM_9664_A	R4	300	4.797	0.82	3.7	W
